AppID,Game Name,Copies,Owners
409710,BioShock Remastered,1,V2B
409720,BioShock 2 Remastered,1,V2B
414340,Hellblade: Senua's Sacrifice,1,V2B
552500,Warhammer: Vermintide 2,1,V2B
747350,Hellblade: Senua's Sacrifice VR Edition,1,V2B
1222700,A Way Out,1,V2B
1262580,Need for Speed™ Payback,1,V2B
2138710,Sifu,1,V2B
2679460,Metaphor: ReFantazio,1,V2B
3081410,Battlefield™ 6 Open Beta,1,V2B
